id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country,city,icao_code,iata_code,State,timezone
3671,KMDH,medium_airport,Southern Illinois Airport,37.778099,-89.251999,411,US,Murphysboro,KMDH,MDH,IL,America/Chicago
3672,KMDT,medium_airport,Harrisburg International Airport,40.192838,-76.762333,310,US,Harrisburg,KMDT,MDT,PA,America/New_York
3674,KMEI,medium_airport,Key Field / Meridian Regional Airport,32.3326,-88.7519,297,US,Meridian,KMEI,MEI,MS,America/Chicago
3676,KMER,medium_airport,Castle Airport,37.38050079,-120.5680008,191,US,Merced,KMER,MER,CA,America/Los_Angeles
3677,KMFD,medium_airport,Mansfield Lahm Regional Airport,40.8213996886999,-82.5166015625,1297,US,Mansfield,KMFD,MFD,OH,America/New_York
3678,KMFE,medium_airport,McAllen Miller International Airport,26.176141,-98.237965,107,US,McAllen,KMFE,MFE,TX,America/Chicago
3679,KMFR,medium_airport,Rogue Valley International-Medford Airport,42.374199,-122.873001,1335,US,Medford,KMFR,MFR,OR,America/Los_Angeles
20498,KMGC,medium_airport,Michigan City Municipal Airport,41.7033,-86.821198,655,US,Michigan City,KMGC,MGC,IN,America/Chicago
3680,KMGE,medium_airport,Dobbins Air Reserve Base,33.915401,-84.516296,1068,US,Marietta,KMGE,MGE,GA,America/New_York
3681,KMGM,medium_airport,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,221,US,Montgomery,KMGM,MGM,AL,America/Chicago
3682,KMGW,medium_airport,Morgantown Municipal Airport Walter L. (Bill) Hart Field,39.643305,-79.917598,1248,US,Morgantown,KMGW,MGW,WV,America/New_York
3683,KMHK,medium_airport,Manhattan Regional Airport,39.140998840332,-96.6707992553711,1057,US,Manhattan,KMHK,MHK,KS,America/Chicago
20506,KMHR,medium_airport,Sacramento Mather Airport,38.554744,-121.297989,98,US,Sacramento,KMHR,MHR,CA,America/Los_Angeles
3684,KMHT,medium_airport,Manchester-Boston Regional Airport,42.932598,-71.435699,266,US,Manchester,KMHT,MHT,NH,America/New_York
20507,KMHV,medium_airport,Mojave Air &  Space Port,35.056391,-118.145342,2801,US,Mojave,KMHV,MHV,CA,America/Los_Angeles
3686,KMIB,medium_airport,Minot Air Force Base,48.4156,-101.358002,1667,US,Minot,KMIB,MIB,ND,America/Chicago
3687,KMIE,medium_airport,Delaware County Johnson Field,40.242298,-85.395897,937,US,Muncie,KMIE,MIE,IN,America/Indiana/Indianapolis
3688,KMIV,medium_airport,Millville Municipal Airport,39.367802,-75.072197,85,US,Millville,KMIV,MIV,NJ,America/New_York
3689,KMKC,medium_airport,Charles B. Wheeler Downtown Airport,39.123199,-94.592796,759,US,Kansas City,KMKC,MKC,MO,America/Chicago
3691,KMKG,medium_airport,Muskegon County Airport,43.169498,-86.238197,629,US,Muskegon,KMKG,MKG,MI,America/Detroit
3692,KMKL,medium_airport,McKellar-Sipes Regional Airport,35.599899,-88.915604,434,US,Jackson,KMKL,MKL,TN,America/Chicago
3693,KMLB,medium_airport,Melbourne Orlando International Airport,28.102009,-80.641088,33,US,Melbourne,KMLB,MLB,FL,America/New_York
3694,KMLC,medium_airport,Mc Alester Regional Airport,34.882401,-95.783501,770,US,Mc Alester,KMLC,MLC,OK,America/Chicago
